"Diabolical Mind / Raphael Fabre / France / 2020 / 4'51""";
"Displaced / Laura Benavides Ramirez / Estonia / 2020 / 7'00""";Перемещенный
"Dog's Field / Michalina Musialik / Poland / 2020 / 11'48""";Собачья площадка
"Dogs / Benjamin Berrebi, Jakub Bednarz, Diego Cristofano, Theo Lenoble, Mohammad Babakoohi, Karlo Pavicic-Ravlic, Marthinus Van Rooyen / France / 2019 / 7'20""";Псы
"Dogs Smell Like the Sea / Anastasiya Lisovets / Russia / 2020 / 4'14""";Собаки пахнут морем
"Domus / Delphine Priet-Maheo / France / 2019 / 9'10""";Домус
"Don't Die / Greg Doble / Canada / 2020 / 3'26""";Не умирай
"Doom Cruise / Hannah Stragholz, Simon Steinhorst / Germany / 2021 / 16'45""";
"Drake, Rope And Acorn / Alina Titorenko / Russia / 2019 / 6'35""";Селезень, верёвочка и жёлудь
"Dream Cream / Noam Sussman / Canada, Estonia / 2019 / 4'46""";Крем-мечта
"Dreams / Dorian Escourrou / France / 2020 / 3'16""";
"Dreams Into Drawing / Koji Yamamura / Japan / 2019 / 10'10""";От снов к рисункам
"Dry Sea / Yves Bex, Bart Bossaert / Belgium / 2020 / 11'00""";Сухое море
"Duodrom / Basil Vogt / Switzerland / 2019 / 8'42""";Дуодром
"Eaten / Mohsen Rezapour / Iran / 2019 / 7'20""";Съеденный
"Echoes / Eleanor Evans, Giovanni Aguilar Gutierrez / Australia / 2021 / 3'40""";Эхо
"Eclosion / Rita Basulto / Mexico / 2019 / 6'07""";Восторг
"Ecorce / Samuel Patthey , Silvain Monney / Switzerland / 2020 / 15'00""";Оболочка
"Eden / Rodrigo Canet / Spain / 2019 / 3'59""";Эдем
"Ego Echo / Ezra Belgrado / Belgium / 2020 / 6'55""";Эхо эго
"El Mago Georges / Katalin Egely / Argentina / 2020 / 4'17""";Волшебник Жорж
"Elsewhere / Sylwia Kubus / Germany / 2020 / 6'00""";Где-то в другом месте
"Embraces & The Touch Of Skin / Sara Koppel / Denmark / 2019 / 2'42""";Объятья и прикосновение кожи
"Empty Places / Geoffroy de Crécy / France / 2020 / 8'30""";Пустые пространства
"En continu / Camille Verde / France / 2020 / 5'20""";Не прерываясь
"Escape Velocity / Tamas Rebak / Hungary / 2019 / 7'43""";Скорость убегания
"Esmerelda / Pablo Fortunato / Argentina / 2021 / 6'13""";Эсмерельда
"Ethereal / Ash Lo Russo / Canada / 2019 / 3'18""";
"Euphoria / Andrea Leoni / Italy / 2021 / 3'30""";Эйфория
"Every Feeling: Ezra Furman / Sivan Kidron / United States / 2020 / 2'42""";
"False Alarm / Lu Pulici & Josep Piris / Italy / 2020 / 4'20""";Ложная тревога
"Familiar Strangers / Murat Sayginer / Turkey / 2020 / 4'00""";Знакомые незнакомцы
"Festive Dinner / Natalya Abramova / Russia / 2019 / 4'08""";Праздничный ужин
"Fleeting: Here & There / Gilnaz Arzpeyma / Canada / 2021 / 2'22""";Мимолетность: тут и там
"Florian / Keshav Abrol, Lucas Londono-Clayton, Pavel Loparev, Alicia Velasco / Spain / 2019 / 3'46""";Флориан
"Folding Land / Jinghui Gao / United States / 2020 / 2'26""";Складывающаяся земля
"Forgotten / Mawrgan Shaw / Canada / 2021 / 4'23""";Забытый
"Friend of a Friend / Zachary Zezima / France / 2020 / 14'05""";Друг друга
"Friends / Florian Grolig / Germany / 2019 / 7'45""";Друзья
"From Under Which Rock Did They Crawl Out / Daniel Suljic / Croatia / 2018 / 5'27""";Из-под какой скалы они выползли
"Funeral / Thịnh Nguyen / Denmark / 2020 / 7'00""";Похороны
"Gaea / Ash Lo Russo / Canada / 2020 / 4'12""";Гея
"Gloria / Iza Cracco / Belgium / 2021 / 10'00""";Глория
"Glowing Treetops / Liang-Hsin Huang / United States / 2020 / 4'32""";
"Good Night Little Tomato / Cyprien Nozieres / France / 2020 / 10'00""";Добрых снов, Томатик
"Gunpowder / Romane Faure, Nathanael Perron, Lea Detrain, Benoit de Geyer d'Orth, Pei-Hsuan Lin, Anne-Lise Kubiak / France / 2019 / 5'30""";Порох
"Has the Sun Turned Up Next Morning / Hristina Belousova / Uzbekistan / 2020 / 6'10""";А вышло ли солнце на следующее утро
"Haters & Lovers / Martin Fischer, Nico Dörle / Germany / 2020 / 4'03""";Ненавистники и любовники
"He Can't Live Without Cosmos / Konstantin Bronzit / Russia / 2019 / 16'00""";Он не может жить без космоса
"Heathens - Best Wishes / Italy / 2019 / 4'37""";С наилучшими пожеланиями
"Helfer / Anna Szollosi / Hungary / 2020 / 9'45""";Помощник
"Hold Me Tight / Mélanie Robert-Tourneur / Belgium / 2021 / 6'06""";Держи меня крепко
"Horns / Daniel Udobnyj /  Russia / 2021 / 3'26""";Рога
"Housewife / Dominika Wyrobek / Poland / 2021 / 5'08""";Домохозяйка
"How I Spent the Summer... / Natalia Fatikh / Russia / 2019 / 6'45""";Как я провел лето
