"Troubled Water / Elena Wiener / Germany / 2020 / 9'58""";Мутная вода
"Tryin' To Be A Girl / Nicolas Flory / France / 2021 / 4'31""";Пытаюсь быть девушкой
"Tulipomania: (This Gilded Age) So What Are You Looking At? / Cheryl Gelover, Tom Murray / United States / 2019 / 3'18""";
"Tunable Mimoid / Vladimir Todorovic / Australia / 2020 / 7'13""";Настраиваемый мимоид
Umbrellas / Jose Prats , Alvaro Robles / Spain / 2020 / 12'00""";Зонтики
"Under the Waterweeds / Anita Kwiatkowska-Naqvi / Poland / 2020 / 4'56""";Под водорослями
"Undone / Sara Laubscher, Saira George / South Africa / 2018 / 3'48""";Развязанный
"Urban Goat / Svetlana Razguliaeva / Russia / 2020 / 11'23""";Городская коза
"Urban Sphinx / Maria Lorenzo / Spain / 2020 / 4'53""";Городской сфинкс
"Utopian South / Leo Uehara, Frankie Walker / Brazil / 2'44""";Утопический Юг
"Vadim on a Walk / Sasha Svirsky / Russia / 2021 / 7'57""";Вадим на прогулке
"Voiceless / Maciek Stępniewski / Poland / 2020 / 2'57""";Безмолвный
"Wade / Upamanyu Bhattacharyya, Kalp Sanghvi / India / 2019 / 10'38""";Вброд
"Warm Star / Anna Kuzina / Russia / 2020 / 4'29""";Тёплая звезда
"Washing Machine / Czech Republic / 2020 / 5'02""";Стиральная машина
"Watermelon Please / Lim Jia Ying / Singapore / 3'38""";Арбуз, пожалуйста!
"Wave Flotation / Ornella Macchia / Belgium / 2019 / 4'43""";
"We Sounds / David Carrizales / Spain / 2019 / 4'36""";Мы звучим
"Weight of Consciousness / Alemşah Fırat / United Kingdom / 2020 / 3'26""";Тяжесть сознания
"Where do they come from? And where do they go? / Christen Bach / Germany / 4'10""";Откуда они? И куда они идут?
"White Horse / Yujie Xu / United Kingdom, China / 2019 / 7'00""";Белая лошадь
"White Snake / Polina Fyodorova / Russia / 2020 / 6'10""";Белая Змея
"Why Slugs Have No Legs / Aline Hochli / Switzerland / 2019 / 10'44""";Почему у слизней нет ног
"Windbreak / Agnes Gyorfi / Hungary / 2020 / 7'18""";Ветрозащита
"Winter Memories / Zahra Kababian, Amir Mahdi Safdari / Iran / 2020 / 6'51""";Зимние воспоминания
"Words Parasites / Aleksey Ermolaev, Ekaterina Mikheeva, Yulia Koulikova, Alina Stognieva, Maria Ermolaeva / Russia / 2021 / 11'56""";Слова-паразиты
"Would You Please? / Ada Güvenir / Belgium / 2020 / 4'30""";Не могли бы вы?
"XYU / Donato Sansone / France / 2019 / 1'36""";XYU
Yoshitoo! - Oto No Naru Houe / Bela Bulgakova / Germany / 2019 / 3'56""";
"You Are not a Kiwi / Maria Saveleva / Estonia / 2020 / 5'31""";Ты не киви
"Zhou / Xinyu Zhou / China / 2019 / 2'53""";
